283.0,472.0,20.0,175.0
148.0,473.0,141.0,20.0
150.0,252.0,20.0,229.0
83.0,252.0,70.0,20.0
84.0,107.0,20.0,149.0
96.0,108.0,123.0,20.0
198.0,68.0,20.0,40.0
61.0,-25.0,20.0,56.0
61.0,25.0,20.0,37.0
74.0,42.0,67.0,20.0
-35.0,361.0,129.0,20.0
341.0,-19.0,20.0,335.0
258.0,465.0,20.0,27.0
258.0,393.0,20.0,80.0
269.0,394.0,112.0,20.0
280.0,190.0,20.0,55.0
288.0,225.0,72.0,20.0
-39.0,544.0,173.0,20.0
74.0,373.0,20.0,77.0
350.0,296.0,202.0,20.0
532.0,140.0,20.0,164.0
469.0,216.0,20.0,83.0
394.0,216.0,83.0,20.0
404.0,512.0,20.0,120.0
543.0,140.0,110.0,20.0
702.0,140.0,105.0,20.0
583.0,37.0,20.0,107.0
447.0,36.0,145.0,20.0
532.0,81.0,20.0,66.0
543.0,81.0,106.0,20.0
352.0,123.0,111.0,20.0
703.0,152.0,20.0,79.0
609.0,211.0,103.0,20.0
99.0,176.0,125.0,20.0
258.0,331.0,20.0,66.0
214.0,331.0,51.0,20.0
688.0,279.0,20.0,196.0
703.0,358.0,39.0,20.0
544.0,296.0,150.0,20.0
500.0,454.0,199.0,20.0
660.0,471.0,20.0,65.0
555.0,517.0,113.0,20.0
586.0,377.0,20.0,75.0
478.0,377.0,116.0,20.0
479.0,352.0,20.0,32.0
